Pool,Title,Author,Publication Title,Vote_Reviewer_1,Vote_Reviewer_2,Agreement,Final_Decision,Rationale,Status
Pool 1 (Aravind & Joel),A Research Roadmap for Augmenting Software Engineering Processes and Software Products with Generative AI,"Amalfitano, Domenico; Metzger, Andreas; Autili, Marco; Fulcini, Tommaso; Hey, Tobias; Keim, Jan; Pelliccione, Patrizio; Scotti, Vincenzo; Koziolek, Anne; Mirandola, Raffaela; Vogelsang, Andreas",ACM Trans. Softw. Eng. Methodol.,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),A Review of AI in Human-Machine Cooperation: Machine Perspective,"Sourav, Md Sakib Galib; Javaid, Ahmad; Cheng, Liang",ACM Trans. Auton. Adapt. Syst.,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),A Risk Taxonomy and Reflection Tool for Large Language Model Adoption in Public Health,"Zhou, Jiawei; Chen, Amy Z.; Shah, Darshi; Schwab-Reese, Laura M.; De Choudhury, Munmun",Proc. ACM Hum.-Comput. Interact.,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),"A Survey on Hallucination in Large Language Models: Principles, Taxonomy, Challenges, and Open Questions","Huang, Lei; Yu, Weijiang; Ma, Weitao; Zhong, Weihong; Feng, Zhangyin; Wang, Haotian; Chen, Qianglong; Peng, Weihua; Feng, Xiaocheng; Qin, Bing; Liu, Ting",ACM Trans. Inf. Syst.,Exclude,For Consideration,No,Exclude,"This paper is a taxonomy / survey on LLM hallucinations, not a study that directly examines conversational manipulation",Resolved
Pool 1 (Aravind & Joel),"A Survey on Small Language Models in the Era of Large Language Models: Architecture, Capabilities, and Trustworthiness","Wang, Fali; Lin, Minhua; Ma, Yao; Liu, Hui; He, Qi; Tang, Xianfeng; Tang, Jiliang; Pei, Jian; Wang, Suhang",Proceedings of the 31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),A Survey on Trustworthy LLM Agents: Threats and Countermeasures,"Yu, Miao; Meng, Fanci; Zhou, Xinyun; Wang, Shilong; Mao, Junyuan; Pan, Linsey; Chen, Tianlong; Wang, Kun; Li, Xinfeng; Zhang, Yongfeng; An, Bo; Wen, Qingsong",Proceedings of the 31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2,Exclude,For Consideration,No,Exclude,Not an empirical HCI study - more technical on theory that's not related to the dark patterns domain,Resolved
Pool 1 (Aravind & Joel),A Unified Browser-Based Consent Management Framework,"Kancherla, Gayatri Priyadarsini; Bichhawat, Abhishek",2025 IEEE/ACM 47th International Conference on Software Engineering: New Ideas and Emerging Results (ICSE-NIER),Exclude,For Consideration,No,Exclude,Main focus on website dark patterns as opposed to LLM dark patterns,Resolved
Pool 1 (Aravind & Joel),A Vision for Value-Aligned AI-Driven Systems,"Obie, Humphrey O.",2025 2nd IEEE/ACM International Conference on AI-powered Software (AIware),Exclude,For Consideration,No,Exclude,"it is a vision / framework paper on value‑aligned software engineering, not an empirical HCI study on conversational manipulation, deception, or dark patterns in AI interfaces.",Resolved
Pool 1 (Aravind & Joel),A few bad neurons: Isolating and surgically correcting sycophancy,"O'Brien, Claire; Seto, Jessica; Roy, Dristi; Dwivedi, Aditya; Dev, Sunishchal; Zhu, Kevin; O'Brien, Sean; Panda, Ashwinee; Lagasse, Ryan",,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),A rational analysis of the effects of sycophantic AI,"Batista, Rafael M; Griffiths, Thomas L",,Include,Include,Yes,Include,,Agreed
Pool 1 (Aravind & Joel),AAMAS '24: Proceedings of the 23rd International Conference on Autonomous Agents and Multiagent Systems,,,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),AAMAS '25: Proceedings of the 24th International Conference on Autonomous Agents and Multiagent Systems,,,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),AI Agents Under Threat: A Survey of Key Security Challenges and Future Pathways,"Deng, Zehang; Guo, Yongjian; Han, Changzhou; Ma, Wanlun; Xiong, Junwu; Wen, Sheng; Xiang, Yang",ACM Comput. Surv.,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),AI Alignment: A Contemporary Survey,"Ji, Jiaming; Qiu, Tianyi; Chen, Boyuan; Zhou, Jiayi; Zhang, Borong; Hong, Donghai; Lou, Hantao; Wang, Kaile; Duan, Yawen; He, Zhonghao; Vierling, Lukas; Zhang, Zhaowei; Zeng, Fanzhi; Dai, Juntao; Pan, Xuehai; Xu, Hua; O'Gara, Aidan; Ng, Kwan; Tse, Brian; Fu, Jie; Mcaleer, Stephen; Wang, Yanfeng; Yang, Mingchuan; Liu, Yunhuai; Wang, Yizhou; Zhu, Song-Chun; Guo, Yike; Yang, Yaodong; Gao, Wen",ACM Comput. Surv.,Exclude,For Consideration,No,Exclude,General trust-AI survey as opposed to empirical study.,Resolved
Pool 1 (Aravind & Joel),AI Assistance in Medical Decision-Making: The Role of Recommendations and Explanations in Simulated Clinical Cases,"Abreu, Mónica Costa; de Brito Duarte, Regina; Neves, Bernardo; Silva, Nuno; Santos, Raquel; Campos, Joana",ACM Trans. Comput. Healthcare,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),"AI Reliance and Decision Quality: Fundamentals, Interdependence, and the Effects of Interventions","Schoeffer, Jakob; Jakubik, Johannes; Vössing, Michael; Kühl, Niklas; Satzger, Gerhard",J. Artif. Int. Res.,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),AI chaperones are (really) all you need to prevent parasocial relationships with chatbots,"Rath, Emma; Armstrong, Stuart; Gorman, Rebecca",,Include,For Consideration,No,Include,Agreed as background context,Resolved
Pool 1 (Aravind & Joel),AI hallucination from students' perspective: A thematic analysis,"Shoufan, Abdulhadi; Esmaeil, Ahmad-Azmi-Abdelhamid",,Include,For Consideration,No,Include,Agreed as background context - references on sycophancy (primary dark pattern),Resolved
Pool 1 (Aravind & Joel),AI will always love you: Studying implicit biases in romantic AI companions,"Grogan, Clare; Kay, Jackie; Pérez-Ortiz, María",,Include,For Consideration,No,Include,Agreed as background context - references on sycophancy (primary dark pattern),Resolved
Pool 1 (Aravind & Joel),AI-Enhanced Sensemaking: Exploring the Design of a Generative AI-Based Assistant to Support Genetic Professionals,"Mastrianni, Angela; Twede, Hope; Sarcevic, Aleksandra; Wander, Jeremiah; Austin-Tse, Christina; Saponas, Scott; Rehm, Heidi; Conard, Ashley Mae; Hall, Amanda K.",ACM Trans. Interact. Intell. Syst.,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),AI-driven adaptive website content for digital well-being,"Niranjan Badde Liyanage Don, S.; Hettiarachchige Don, N.; Visuri, A.",,Exclude,Include,No,Include,Focus on GUI LLM Dark Patterns but could be useful later depending on scope change,Resolved
Pool 1 (Aravind & Joel),AISec '23: Proceedings of the 16th ACM Workshop on Artificial Intelligence and Security,,,Exclude,Exclude,Yes,Exclude,,Agreed
