Pool,Title,Author,Publication Title,Vote_Reviewer_1,Vote_Reviewer_2,Agreement,Final_Decision,Rationale,Status
Pool 1 (Aravind & Joel),But what is your honest answer? Aiding LLM-judges with honest alternatives using steering vectors,"Eshuijs, Leon; Chaudhury, Archie; McBeth, Alan; Nguyen, Ethan",,Exclude,Include,No,Include,Interesting framework for detecting and treating dark patterns,Resolved
Pool 1 (Aravind & Joel),CCS '24: Proceedings of the 2024 on ACM SIGSAC Conference on Computer and Communications Security,,,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),CCS '25: Proceedings of the 2025 ACM SIGSAC Conference on Computer and Communications Security,,,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),CHI 2023 - Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,,Conference on Human Factors in Computing Systems - Proceedings,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),CHIWORK '25 Adjunct: Adjunct Proceedings of the 4th Annual Symposium on Human-Computer Interaction for Work,,,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),CHIWORK '25: Proceedings of the 4th Annual Symposium on Human-Computer Interaction for Work,,,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),CLARA: AI-Mediated Facilitation for Enhancing Group Cognition and Cohesion in Remote Collaboration,"Gunasekaran, Tamil Selvan; Doosti, Maryam Siah; Gupta, Kunal; Bai, Huidong; Pai, Yun Suen; Billinghurst, Mark",ACM Trans. Comput.-Hum. Interact.,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),CLEAR: Towards Contextual LLM-Empowered Privacy Policy Analysis and Risk Generation for Large Language Model Applications,"Chen, Chaoran; Zhou, Daodao; Ye, Yanfang; Li, Toby Jia-Jun; Yao, Yaxing",Proceedings of the 30th International Conference on Intelligent User Interfaces,Include,Exclude,No,Exclude,Slightly too narrowed onto privacy,Resolved
Pool 1 (Aravind & Joel),CSCW Companion '24: Companion Publication of the 2024 Conference on Computer-Supported Cooperative Work and Social Computing,,,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),CUI@CHI 2024: Building Trust in CUIs—From Design to Deployment,"Desai, Smit; Wei, Christina Ziying; Sin, Jaisie; Dubiel, Mateusz; Zargham, Nima; Ahire, Shashank; Porcheron, Martin; Kuzminykh, Anastasia; Lee, Minha; Candello, Heloisa; Fischer, Joel E; Munteanu, Cosmin; Cowan, Benjamin R.",Extended Abstracts of the CHI Conference on Human Factors in Computing Systems,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),CURATe: Benchmarking personalised alignment of conversational AI assistants,"Alberts, Lize; Ellis, Benjamin; Lupu, Andrei; Foerster, Jakob",,Exclude,For Consideration,No,Exclude,Too technical + other frameworks that are better,Resolved
Pool 1 (Aravind & Joel),Can we control what AI make us believe?,"CONVICTION, M.",Metode,Exclude,Include,No,Include,Good research on influence of persuasion in LLMs to users,Resolved
Pool 1 (Aravind & Joel),Can you trust an LLM with your life-changing decision? An investigation into AI high-stakes responses,"Cahyono, Joshua Adrian; Subramanian, Saran",,Include,Exclude,No,Include,Include,Resolved
Pool 1 (Aravind & Joel),"Capturing the Trends, Applications, Issues, and Potential Strategies of Designing Transparent AI Agents","Sun, Lingyun; Li, Zhuoshu; Zhang, Yuyang; Liu, Yanzhen; Lou, Shanghua; Zhou, Zhibin",Extended Abstracts of the 2021 CHI Conference on Human Factors in Computing Systems,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),"CausalT5K: Diagnosing and informing refusal for trustworthy causal reasoning of skepticism, sycophancy, detection-correction, and rung collapse","Geng, Longling; Ouyang, Andy; Wu, Theodore; Barretto, Daphne; Hayes, Matthew John; Cooper, Rachael; Zeng, Yuqiao; Vijay, Sameer; Ancone, Gia; Rai, Ankit; Wolfman, Matthew; Flanagan, Patrick; Chang, Edward Y",,Exclude,For Consideration,No,Exclude,Too technical,Resolved
Pool 1 (Aravind & Joel),Challenging the evaluator: LLM sycophancy under user rebuttal,"Kim, Sungwon; Khashabi, Daniel",,Include,Include,Yes,Include,,Agreed
Pool 1 (Aravind & Joel),Chaos with keywords: Exposing Large Language Models sycophantic hallucination to misleading keywords and evaluating defense strategies,"Rrv, Aswin; Tyagi, Nemika; Uddin, Md Nayem; Varshney, Neeraj; Baral, Chitta",,For Consideration,Include,No,Include,Speaks on sycophanics behaviours and mitigation + more background paper,Resolved
Pool 1 (Aravind & Joel),Characterizing Manipulation from AI Systems,"Carroll, Micah; Chan, Alan; Ashton, Henry; Krueger, David","Proceedings of the 3rd ACM Conference on Equity and Access in Algorithms, Mechanisms, and Optimization",Exclude,For Consideration,No,Exclude,Too broad with manipulation and only AI systems,Resolved
Pool 1 (Aravind & Joel),Chat as Learning in Interactive Information Retrieval and Generation,"Yu, Ran; Liu, Jiqun",SIGIR Forum,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Chat with the 'For You' Algorithm: An LLM-Enhanced Chatbot for Controlling Video Recommendation Flow,"Niu, Shuo; Vishnuvardhan, Dikshith; Punnam, Venkata Sai Reddy",Proceedings of the 7th ACM Conference on Conversational User Interfaces,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Coalesce: An Accessible Mixed-Initiative System for Designing Community-Centric Questionnaires,"Overney, Cassandra; Kessler, Daniel T; Fulay, Suyash Pradeep; Jasim, Mahmood; Roy, Deb",Proceedings of the 30th International Conference on Intelligent User Interfaces,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Cognitive models can reveal interpretable value trade-offs in language models,"Murthy, Sonia K; Zhao, Rosie; Hu, Jennifer; Kakade, Sham; Wulfmeier, Markus; Qian, Peng; Ullman, Tomer",,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Combatting Dark Patterns: Evaluating the Effectiveness of Warning Interventions on User Behavior,"Deng, Wenxin; Go, Kentaro",2024 International Conference on Cyberworlds (CW),Exclude,Include,No,Exclude,Not sufficient for info on RQ1,Resolved
Pool 1 (Aravind & Joel),Communication Bias in Large Language Models: A Regulatory Perspective,"Kuenzler, Adrian; Schmid, Stefan",Commun. ACM,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Communities in New Media. Trust at Crisis: Communication Models in Digital Communities - Proceedings of 27th Conference GeNeMe,,Communities in New Media. Trust at Crisis: Communication Models in Digital Communities - Proceedings of 27th Conference GeNeMe,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Computers as bad social actors: Dark patterns and anti-patterns in interfaces that act socially,"Alberts, Lize; Lyngs, Ulrik; Van Kleek, Max",,Include,Include,Yes,Include,,Agreed
Pool 1 (Aravind & Joel),Consent Receipts for a Usable and Auditable Web of Personal Data,"Jesus, Vitor; Pandit, Harshvardhan J.",IEEE Access,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Consistency Training helps stop sycophancy and jailbreaks,"Irpan, Alex; Turner, Alexander Matt; Kurzeja, Mark; Elson, David K; Shah, Rohin",,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Consumer Autonomy or Illusion? Rethinking Consumer Agency in the Age of Algorithms,"Nokhiz, Pegah; Ruwanpathirana, Aravinda Kanchana",Journal of Social Computing,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Conversate: Supporting Reflective Learning in Interview Practice Through Interactive Simulation and Dialogic Feedback,"Daryanto, Taufiq; Ding, Xiaohan; Wilhelm, Lance T.; Stil, Sophia; Knutsen, Kirk McInnis; Rho, Eugenia H.",Proc. ACM Hum.-Comput. Interact.,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Conversational Breakdown in a Customer Service Chatbot: Impact of Task Order and Criticality on User Trust and Emotion,"Følstad, Asbjørn; Law, Effie L.-C.; van As, Nena",ACM Trans. Comput.-Hum. Interact.,Include,Exclude,No,Include,Useful for RQ3 for minimsing dark pattern impacts,Resolved
Pool 1 (Aravind & Joel),Conversational-linguistic politeness parameters for chatbot design: a card-based approach,"Monteiro, Mateus de Souza; Pereira, Vinícius Carvalho; Salgado, Luciana Cardoso de Castro",Proceedings of the XXIII Brazilian Symposium on Human Factors in Computing Systems,Include,Exclude,No,Exclude,Irrelevant to dark pattners,Resolved
Pool 1 (Aravind & Joel),Cookie Consent and Digital Privacy in Africa: An Analysis of Website Practices and Existing Regulatory Gaps,"Musiime, Joel Jefferson; Atombo-Sackey, Nana Ama; Chiboora, Trevor Henry; Chacha, Lenah; Gueye, Assane",Proceedings of the 2025 ACM SIGCAS/SIGCHI Conference on Computing and Sustainable Societies,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),DARPA: Combating Asymmetric Dark UI Patterns on Android with Run-time View Decorator,"Cai, Zhaoxin; Nan, Yuhong; Wang, Xueqiang; Long, Mengyi; Ou, Qihua; Yang, Min; Zheng, Zibin",2023 53rd Annual IEEE/IFIP International Conference on Dependable Systems and Networks (DSN),Exclude,For Consideration,No,Exclude,Too specific on GUI dark patterns,Resolved
Pool 1 (Aravind & Joel),DEAF: A benchmark for Diagnostic Evaluation of Acoustic Faithfulness in audio language models,"Jiaqi, Xiong; Yunjia, Qi; Qi, Cao; Yu, Zheng; Weisheng, Xu; Ziteng, Wang; Ruofan, Liao; Yutong, Zhang; Sichen, Liu",,Exclude,For Consideration,No,Exclude,Too distinct on audio dark patterns,Resolved
Pool 1 (Aravind & Joel),DPDGPT: Using Multimodal Large Language Models for automated detection of dark patterns,"Lin, F.; Nie, L.; Xue, L.; Zhang, X.; Zhang, K.",Information and Software Technology,Exclude,Include,No,Include,Useful for RQ3 on detection,Resolved
Pool 1 (Aravind & Joel),Dark Pattern Detection on Web Page using DistilBERT,"Rajput, Komal; Singh, Sunil; R, Kingsy Grace; S, Suresh Kumar; V, Saveetha; T, Vijaya Kumar",2025 IEEE First International Conference on Innovations in Engineering and Next-Generation Technologies for Sustainability (ICINVENTS),Exclude,Include,No,Include,Useful for RQ3 on limitations on current detection models,Resolved
Pool 1 (Aravind & Joel),Dark Patterns and Consumer Protection Law for App Makers,"Dickinson, Gregory M.",2025 Cyber Awareness and Research Symposium (CARS),Exclude,Include,No,Exclude,Not much material for LLM domain,Resolved
Pool 1 (Aravind & Joel),"Dark Patterns in Shopping, Education & Health Apps","Rahman, Parinda; Adaji, Ifeoma",2024 IEEE Digital Platforms and Societal Harms (DPSH),Exclude,For Consideration,No,Include,Good background paper for intro,Resolved
Pool 1 (Aravind & Joel),Dark patterns meet GUI agents: LLM agent susceptibility to manipulative interfaces and the role of human oversight,"Tang, Jingyu; Chen, Chaoran; Li, Jiawen; Zhang, Zhiping; Guo, Bingcan; Khalilov, Ibrahim; Gebreegziabher, Simret Araya; Yao, Bingsheng; Wang, Dakuo; Ye, Yanfang; Li, Tianshi; Xiao, Ziang; Yao, Yaxing; Li, Toby Jia-Jun",,Exclude,Include,No,Include,Interesting info for RQ3 of human oversight on detecting dark patterns,Resolved
Pool 1 (Aravind & Joel),DarkBench: Benchmarking Dark Patterns in Large Language Models,"Kran, E.; Nguyen, J.; Kundu, A.; Jawhar, S.; Park, J.; Jurewicz, M.",,Include,Include,Yes,Include,,Agreed
Pool 1 (Aravind & Joel),DarkDialogs: Automated detection of 10 dark patterns on cookie dialogs,"Kirkman, Daniel; Vaniea, Kami; Woods, Daniel W.",2023 IEEE 8th European Symposium on Security and Privacy (EuroS&P),Exclude,For Consideration,No,Exclude,Too specific on cookies ,Resolved
Pool 1 (Aravind & Joel),Data Protection and Consenting Communication Mechanisms: Current Open Proposals and Challenges,"Human, Soheil; Pandit, Harshvardhan J.; Morel, Victor; Santos, Cristiana; Degeling, Martin; Rossi, Arianna; Botes, Wilhelmina; Jesus, Vitor; Kamara, Irene",2022 IEEE European Symposium on Security and Privacy Workshops (EuroS&PW),Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Data-Mining of Social Media Users with Embedding Techniques and Neural Network,"Cao, Hengshan; Yin, Mengjiao; Xi, Ying","2024 IEEE 6th Advanced Information Management, Communicates, Electronic and Automation Control Conference (IMCEC)",Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Debiasing reward models by representation learning with guarantees,"Ng, Ignavier; Blöbaum, Patrick; Bhandari, Siddharth; Zhang, Kun; Kasiviswanathan, Shiva",,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Deceiving Audio Design in Augmented Environments : A Systematic Review of Audio Effects in Augmented Reality,"Anne de Haas, Esrnée Henrieke; Lee, Lik-Hang",2022 IEEE International Symposium on Mixed and Augmented Reality Adjunct (ISMAR-Adjunct),Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),DeceptiLens: an Approach supporting Transparency in Deceptive Pattern Detection based on a Multimodal Large Language Model,"Kocyigit, Emre; Rossi, Arianna; Sergeeva, Anastasia; Negri Ribalta, Claudia; Farjami, Ali; Lenzini, Gabriele","Proceedings of the 2025 ACM Conference on Fairness, Accountability, and Transparency",Exclude,Include,No,Include,Interesting detection framework (RQ3),Resolved
Pool 1 (Aravind & Joel),Deception at scale: Deceptive designs in 1K LLM-generated ecommerce components,"Chen, Ziwei; Shen, Jiawen; Luna; Zhang, Hanyu; Vaccaro, Kristen",,Exclude,Include,No,Exclude,Interaction focus (non‑conversational / non‑adaptive AI interfaces,Resolved
Pool 1 (Aravind & Joel),Deceptive Explanations by Large Language Models Lead People to Change their Beliefs About Misinformation More Often than Honest Explanations,"Danry, Valdemar; Pataranutaporn, Pat; Groh, Matthew; Epstein, Ziv",Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,Include,Include,Yes,Include,,Agreed
Pool 1 (Aravind & Joel),Deceptive Patterns and Perceptual Risks in an Eye-Tracked Virtual Reality,"Ramirez, G. Nikki; Spivack, Jameson; David-John, Brendan",2024 IEEE Conference on Virtual Reality and 3D User Interfaces Abstracts and Workshops (VRW),Exclude,For Consideration,No,Exclude,A bit too far from conversational domain,Resolved
Pool 1 (Aravind & Joel),Deceptive patterns of intelligent and interactive writing assistants,"Benharrak, Karim; Zindulka, Tim; Buschek, Daniel",,Exclude,Include,No,Exclude,Potential mitigation -  not really an empirical study,Resolved
Pool 1 (Aravind & Joel),"Deep Learning to Rank in Industrial Search Engines, Recommender Systems and Online Advertising: An Overview and New Perspectives","Gu, Yulong; Zou, Lixin; Li, Chenliang",ACM Trans. Inf. Syst.,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Defining and Identifying Attention Capture Deceptive Designs in Digital Interfaces,"Monge Roffarello, Alberto; Lukoff, Kai; De Russis, Luigi",Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),"Defining, Classifying and Identifying Addictive Patterns in Digital Products","Beltrán, Marta",IEEE Transactions on Technology and Society,Exclude,For Consideration,No,Exclude,Bit too broad for our selected domain,Resolved
Pool 1 (Aravind & Joel),Design Activity Simulation: Opportunities and Challenges in Using Multiple Communicative AI Agents to Tackle Design Problems,"Yang, Boyin; Dudley, John J; Kristensson, Per Ola",Proceedings of the 7th ACM Conference on Conversational User Interfaces,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Designing AI Interfaces for Transparent Decision-Making and Ethical Reflection,"Bhat, Maalvika",Companion Proceedings of the 30th International Conference on Intelligent User Interfaces,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Designing Dialogic Disclaimers: Principles for Ethical Conversational Design in LLM Interfaces,"Cheng, T.H.",,Exclude,For Consideration,No,Exclude,This particular ethics domain is not related to dark patterns,Resolved
Pool 1 (Aravind & Joel),Designing Intent Communication for Agent-Human Collaboration,"Li, Yi; Chiossi, Francesco; Frijns, Helena Anna; Leusmann, Jan; Rasch, Julian; Welsch, Robin; Wintersberger, Philipp; Michahelles, Florian; Schmidt, Albrecht",Proceedings of the 24th International Conference on Mobile and Ubiquitous Multimedia,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),"Designing Social Robots with Ethical, User-Adaptive Explainability in the Era of Foundation Models","Doğan, Fethiye Irmak; Markelius, Alva; Gunes, Hatice",Companion Proceedings of the 21st ACM/IEEE International Conference on Human-Robot Interaction,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Designing and Evaluating an Interactive Learning Technology to Foster Privacy Literacy,"Doria, Jan; Grimm, Petra; Hohendanner, Michel; Kuhnert, Susanne",IEEE Transactions on Learning Technologies,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Designing for Responsible Trust in AI Systems: A Communication Perspective,"Liao, Q.Vera; Sundar, S. Shyam","Proceedings of the 2022 ACM Conference on Fairness, Accountability, and Transparency",Exclude,For Consideration,No,Exclude,Too broad to be a background paper,Resolved
Pool 1 (Aravind & Joel),"Designing, Implementing, and Evaluating AI Explanations: A Scoping Review of Explainable AI Frameworks","Cortiñas-Lorenzo, Karina; Cai, Wanling; Doherty, Gavin",ACM Trans. Comput.-Hum. Interact.,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Detecting Effects of AI-Mediated Communication on Language Complexity and Sentiment,"Sussman, Kristen; Carter, Daniel",Companion Proceedings of the ACM on Web Conference 2025,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Developing Autonomous Robot-Mediated Behavior Coaching Sessions with Haru,"Jelínek, M.; Nichols, E.; Gomez, R.",,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),DiSCoKit: An open-source toolkit for deploying live LLM experiences in survey research,"Banks, Jaime; Stromer-Galley, Jon; Singh, Samiksha; Capano, Collin",,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),DiaryMate: Understanding User Perceptions and Experience in Human-AI Collaboration for Personal Journaling,"Kim, Taewan; Shin, Donghoon; Kim, Young-Ho; Hong, Hwajung",Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Digital Yes-Men: How to Deal With Sycophantic Military AI?,"Kwik, J.",Global Policy,Exclude,For Consideration,No,Exclude,Military Ai slightly too niche,Resolved
Pool 1 (Aravind & Joel),Do Expressions Change Decisions? Exploring the Impact of AI's Explanation Tone on Decision-Making,"Okoso, Ayano; Yang, Mingzhe; Baba, Yukino",Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,Exclude,For Consideration,No,Exclude,Too vague in emphasising - inferring that there could be dark patterns,Resolved
Pool 1 (Aravind & Joel),Do large language models get caught in Hofstadter-Mobius loops?,"Hryszko, Jaroslaw",,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Does the Whole Exceed its Parts? The Effect of AI Explanations on Complementary Team Performance,"Bansal, Gagan; Wu, Tongshuang; Zhou, Joyce; Fok, Raymond; Nushi, Besmira; Kamar, Ece; Ribeiro, Marco Tulio; Weld, Daniel",Proceedings of the 2021 CHI Conference on Human Factors in Computing Systems,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),"Don't Detect, Just Correct: Can LLMs Defuse Deceptive Patterns Directly?","Schäfer, René; Preuschoff, Paul Miles; Niewianda, Rene; Hahn, Sophie; Fiedler, Kevin; Borchers, Jan",Proceedings of the Extended Abstracts of the CHI Conference on Human Factors in Computing Systems,Exclude,Include,No,Include,Good info on dark pattern appearance in LLMs,Resolved
Pool 1 (Aravind & Joel),ELDER-MATCH: A Personality-Aware Expert System for Elderly Social Connection Through AI-Powered Social Robots,"Tseng, H.-T.; Hsu, M.-H.; Tsai, C.-Y.; Lo, C.-L.",Expert Systems,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),ELEPHANT: Measuring and understanding social sycophancy in LLMs,"Cheng, Myra; Yu, Sunny; Lee, Cinoo; Khadpe, Pranav; Ibrahim, Lujain; Jurafsky, Dan",,Include,For Consideration,No,Include,Close to our domain - strong paper,Resolved
Pool 1 (Aravind & Joel),"Effect of AI Performance, Risk Perception, and Trust on Human Dependence in Deepfake Detection AI System","Zhou, Yingfan; Chen, Ester; Pisipati, Manasa; Xiong, Aiping; Rajtmajer, Sarah",Proc. ACM Hum.-Comput. Interact.,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Eliminating inductive bias in reward models with information-theoretic guidance,"Li, Zhuo; Cheng, Pengyu; Yu, Zhechao; Tong, Feifei; Gao, Anningzhe; Chang, Tsung-Hui; Wan, Xiang; Zhao, Erchao; Jiang, Xiaoxi; Jiang, Guanjun",,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Emotionally Aware Moderation: The Potential of Emotion Monitoring in Shaping Healthier Social Media Conversations,"Su, Xiaotian; Zierau, Naim; Kim, Soomin; Wang, April Yi; Wambsganss, Thiemo",Proc. ACM Hum.-Comput. Interact.,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Empirical Study on the Application of Deep Learning in User Behavior Prediction and Personalized Recommendation in E-Commerce,"Diao, G.; Li, C.; Liu, Q.; Liu, Z.",Journal of Organizational and End User Computing,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Empowering Calibrated (Dis-)Trust in Conversational Agents: A User Study on the Persuasive Power of Limitation Disclaimers vs. Authoritative Style,"Metzger, Luise; Miller, Linda; Baumann, Martin; Kraus, Johannes",Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems,Include,For Consideration,No,Include,Worth evaluating on how different style of AI responses constitute to dark patterns and change in trust,Resolved
Pool 1 (Aravind & Joel),Enabling Real-World Assistive Agents: From Live Vision to Proactive Context-Aware Information Delivery,"Chang, Ruei-Che",Adjunct Proceedings of the 38th Annual ACM Symposium on User Interface Software and Technology,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Enabling precise topic alignment in large language models via Sparse Autoencoders,"Joshi, Ananya; Cintas, Celia; Speakman, Skyler",,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Energy Urban Domain: Personalized Evaluation of Expert and Non-Expert Stakeholder Interaction With Artificial Intelligence Through ChatGPT Using the VIRTSI Model,"Tsihrintzis, G.A.; Sarmas, E.; Marinakis, V.; Panagoulias, D.P.; Tsichrintzi, E.-A.; Virvou, M.",IEEE Access,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Engagement-Driven Content Generation with Large Language Models,"Coppolillo, Erica; Cinus, Federico; Minici, Marco; Bonchi, Francesco; Manco, Giuseppe",Proceedings of the 31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2,Exclude,For Consideration,No,Exclude,frameworks evaluating the wrong area - not dark patterns,Resolved
Pool 1 (Aravind & Joel),Enhancing Intuitive Decision-Making and Reliance Through Human–AI Collaboration: A Review,"Xu, G.; Murthy, S.V.; Jia, B.",Informatics,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),"Enhancing Netflix's Recommendation System: A Hybrid AI Approach for Personalization, Bias Reduction, and Engagement Optimization","Cherian, Aswathy K; S, Hari Sharen; Patel, Sneh P; Patil, Smit B","2025 2nd International Conference on New Frontiers in Communication, Automation, Management and Security (ICCAMS)",Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Enhancing Self-Efficacy in Health Self-Examination through Conversational Agent's Encouragement,"Kollerup, Naja Kathrine; Bahodi, Maria-Theresa; Cox, Samuel Rhys; van Berkel, Niels",Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Enhancing Visitor Engagement in Interactive Art Exhibitions with Visual-Enhanced Conversational Agents,"Ho, Hoang Phuoc; Ramesh, Vani; Zaloudek, Ivo; Rikhtehgar, Delaram Javdani; Wang, Shenghui",Proceedings of the 30th International Conference on Intelligent User Interfaces,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Epistemic Context Learning: Building trust the right way in LLM-based multi-agent systems,"Zhou, Ruiwen; Song, Maojia; Wu, Xiaobao; Cheng, Sitao; Yin, Xunjian; Xie, Yuxi; Hao, Zhuoqun; Hua, Wenyue; Pan, Liangming; Poria, Soujanya; Kan, Min-Yen",,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Epistemic traps: Rational misalignment driven by model misspecification,"Xu, Xingcheng; Qu, Jingjing; Zhang, Qiaosheng; Lu, Chaochao; Yang, Yanqing; Zou, Na; Hu, Xia",,Exclude,For Consideration,No,Exclude,Very broad,Resolved
Pool 1 (Aravind & Joel),Establishing Appropriate Trust in AI through Transparency and Explainability,"Kim, Sunnie S. Y.",Extended Abstracts of the CHI Conference on Human Factors in Computing Systems,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Evaluating Gaze-Manipulation Risks via Image Movement Attacks on Optical See-Through AR/MR HMDs,"Kurasaki, Shodai; Kanaoka, Akira",IEEE Access,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),"Evaluating Generative AI Incidents: An Exploratory Vignette Study on the Role of Trust, Attitude and AI Literacy","Kox, E.S.; Beretta, B.",,Include,Exclude,No,Exclude,Not within the domain - vignettes as opposed to dark patterns,Resolved
Pool 1 (Aravind & Joel),Evaluating User Experience in Conversational Recommender Systems: A Systematic Review Across Classical and LLM-Powered Approaches,"Mahmud, Raj; Wu, Yufeng; Bin Sawad, Abdullah; Berkovsky, Shlomo; Prasad, Mukesh; Kocaballi, A. Baki",Proceedings of the 37th Australian Conference on Human-Computer Interaction,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Expanding the Capabilities of Robot NAO to Enable Human-Like Communication with Children with Speech and Language Disorders,"Andreeva, Anna; Lekova, Anna; Tsvetkova, Paulina; Simonska, Miglena",Proceedings of the International Conference on Computer Systems and Technologies 2024,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Explainability for Large Language Models: A Survey,"Zhao, Haiyan; Chen, Hanjie; Yang, Fan; Liu, Ninghao; Deng, Huiqi; Cai, Hengyi; Wang, Shuaiqiang; Yin, Dawei; Du, Mengnan",ACM Trans. Intell. Syst. Technol.,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Exploration of Explainable AI for Trust Development on Human-AI Interaction,"Bernardo, Ezekiel L.; Seva, Rosemary R.",Proceedings of the 2023 6th Artificial Intelligence and Cloud Computing Conference,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Exploring Deceptive Design Patterns in Voice Interfaces,"Owens, Kentrell; Gunawan, Johanna; Choffnes, David; Emami-Naeini, Pardis; Kohno, Tadayoshi; Roesner, Franziska",Proceedings of the 2022 European Symposium on Usable Security,Include,For Consideration,No,Include,Interesting domain of voice interactions,Resolved
Pool 1 (Aravind & Joel),Exploring Older Adults Personality Preferences for LLM-powered Conversational Companions,"Shahid, Ajwa; Chung, Jane; Heo, Seongkook",Proceedings of the Extended Abstracts of the CHI Conference on Human Factors in Computing Systems,Exclude,Exclude,Yes,Exclude,,Agreed
